variant,variant_label,threshold_nph,efficiency_total,efficiency_central,mean_accepted_nph,relative_effective_acceptance,relative_expected_counts,poisson_weight_relative
tio2,Hod2019/TiO2,1,0.392593,0.416327,8.89308,1,1,1
tio2,Hod2019/TiO2,2,0.195062,0.159184,11.4051,0.496855,0.496855,2.01266
tio2,Hod2019/TiO2,5,0.0395062,0.0163265,17.9375,0.100629,0.100629,9.9375
tio2,Hod2019/TiO2,10,0.00740741,0,28.6667,0.0188679,0.0188679,53
tio2,Hod2019/TiO2,20,0,0,0,0,0,inf
tio2,Hod2019/TiO2,30,0,0,0,0,0,inf
vikuiti,Hod2018/Vikuiti,1,0.785185,0.991837,63.6572,1,1,1
vikuiti,Hod2018/Vikuiti,2,0.782716,0.987755,63.5804,0.996855,0.996855,1.00315
vikuiti,Hod2018/Vikuiti,5,0.661728,0.812245,68.1455,0.842767,0.842767,1.18657
vikuiti,Hod2018/Vikuiti,10,0.37037,0.404082,85.7,0.471698,0.471698,2.12
vikuiti,Hod2018/Vikuiti,20,0.182716,0.159184,111.243,0.232704,0.232704,4.2973
vikuiti,Hod2018/Vikuiti,30,0.0987654,0.0816327,126.625,0.125786,0.125786,7.95
