pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total,mean_edep_total,mean_active_channels
-16,-16,-15.5,-15.5,20,0,0,0,0,0
-16,-15,-15.5,-14.5,20,0,0,9.85,0.174209,1
-16,-14,-15.5,-13.5,20,0,0,10.9,0.195627,1
-16,-13,-15.5,-12.5,20,0,0,9.75,0.356181,1.25
-16,-12,-15.5,-11.5,20,0,0,0.35,0.200278,0.3
-16,-11,-15.5,-10.5,20,0,0,10.5,0.338116,1.1
-16,-10,-15.5,-9.5,20,0,0,10.25,0.193567,1
-16,-9,-15.5,-8.5,20,0,0,8.9,0.358585,1.25
-16,-8,-15.5,-7.5,20,0,0,0.4,0.169779,0.4
-16,-7,-15.5,-6.5,20,0,0,11.4,0.372608,1.4
-16,-6,-15.5,-5.5,20,0,0,9.7,0.19358,1
-16,-5,-15.5,-4.5,20,0,0,10.1,0.349521,1.1
-16,-4,-15.5,-3.5,20,0,0,0.5,0.18779,0.45
-16,-3,-15.5,-2.5,20,0,0,11.9,0.426623,1.3
-16,-2,-15.5,-1.5,20,0,0,9.45,0.157519,1
-16,-1,-15.5,-0.5,20,0,0,12.4,0.357565,1.2
-16,0,-15.5,0.5,20,0,0,0.25,0.169138,0.25
-16,1,-15.5,1.5,20,0,0,9.15,0.353315,1.2
-16,2,-15.5,2.5,20,0,0,8.6,0.158419,1
-16,3,-15.5,3.5,20,0,0,8.5,0.357242,1.3
-16,4,-15.5,4.5,20,0,0,0.4,0.174673,0.35
-16,5,-15.5,5.5,20,0,0,10.4,0.346316,1.4
-16,6,-15.5,6.5,20,0,0,10.45,0.16732,1
-16,7,-15.5,7.5,20,0,0,9.9,0.375261,1.25
-16,8,-15.5,8.5,20,0,0,0.3,0.166108,0.25
-16,9,-15.5,9.5,20,0,0,11.3,0.3561,1.2
-16,10,-15.5,10.5,20,0,0,9.55,0.169565,1
-16,11,-15.5,11.5,20,0,0,10,0.352051,1.5
-16,12,-15.5,12.5,20,0,0,0.1,0.168037,0.1
-16,13,-15.5,13.5,20,0,0,9.05,0.354777,1.35
-16,14,-15.5,14.5,20,0,0,9.15,0.205207,1
-16,15,-15.5,15.5,20,0,0,10.2,0.347535,1.3
-16,16,-15.5,16.5,20,0,0,0.15,0.180752,0.15
-15,-16,-14.5,-15.5,20,0,0,9.75,0.173414,1
-15,-15,-14.5,-14.5,20,20,1,16.7,0.337936,2
-15,-14,-14.5,-13.5,20,20,1,16.25,0.360604,2
-15,-13,-14.5,-12.5,20,20,1,16.95,0.559068,2.15
-15,-12,-14.5,-11.5,20,5,0.25,6.15,0.352048,1.25
-15,-11,-14.5,-10.5,20,20,1,12.45,0.544277,2.25
-15,-10,-14.5,-9.5,20,20,1,11.25,0.361554,2
-15,-9,-14.5,-8.5,20,20,1,16.35,0.6052,2.25
-15,-8,-14.5,-7.5,20,10,0.5,2.85,0.359345,1.45
-15,-7,-14.5,-6.5,20,18,0.9,18.8,0.576573,2.35
-15,-6,-14.5,-5.5,20,19,0.95,12.5,0.414293,2
-15,-5,-14.5,-4.5,20,17,0.85,10.35,0.516301,2
-15,-4,-14.5,-3.5,20,4,0.2,1.7,0.363859,1.1
-15,-3,-14.5,-2.5,20,13,0.65,9.5,0.490739,2
-15,-2,-14.5,-1.5,20,13,0.65,12.95,0.372349,1.8
-15,-1,-14.5,-0.5,20,14,0.7,8.55,0.52105,1.95
-15,0,-14.5,0.5,20,5,0.25,1.7,0.325453,1.1
-15,1,-14.5,1.5,20,12,0.6,9.45,0.564665,2.05
-15,2,-14.5,2.5,20,8,0.4,9.15,0.350242,1.4
-15,3,-14.5,3.5,20,11,0.55,8.4,0.54718,1.8
-15,4,-14.5,4.5,20,6,0.3,2.3,0.356305,1.15
-15,5,-14.5,5.5,20,10,0.5,10.65,0.539823,1.95
-15,6,-14.5,6.5,20,15,0.75,8.8,0.32229,1.75
-15,7,-14.5,7.5,20,9,0.45,8.4,0.531459,1.7
-15,8,-14.5,8.5,20,1,0.05,1.35,0.348722,0.7
-15,9,-14.5,9.5,20,7,0.35,7.3,0.522653,1.75
-15,10,-14.5,10.5,20,7,0.35,8.55,0.393445,1.35
-15,11,-14.5,11.5,20,4,0.2,8.35,0.518116,1.5
-15,12,-14.5,12.5,20,4,0.2,1.1,0.365662,0.85
-15,13,-14.5,13.5,20,5,0.25,8.05,0.529038,1.5
-15,14,-14.5,14.5,20,5,0.25,9.75,0.368695,1.25
-15,15,-14.5,15.5,20,3,0.15,7.5,0.490781,1.3
-15,16,-14.5,16.5,20,1,0.05,0.7,0.359879,0.65
-14,-16,-13.5,-15.5,20,0,0,8.5,0.177436,1
-14,-15,-13.5,-14.5,20,20,1,14.55,0.375304,2.1
-14,-14,-13.5,-13.5,20,20,1,12.65,0.316452,2
-14,-13,-13.5,-12.5,20,20,1,13.2,0.545194,2.45
-14,-12,-13.5,-11.5,20,3,0.15,4.9,0.33443,1.15
-14,-11,-13.5,-10.5,20,20,1,13.35,0.561871,2.35
-14,-10,-13.5,-9.5,20,19,0.95,10.85,0.320114,1.95
-14,-9,-13.5,-8.5,20,18,0.9,10.7,0.53543,2.25
-14,-8,-13.5,-7.5,20,9,0.45,3.6,0.341446,1.45
-14,-7,-13.5,-6.5,20,20,1,10.45,0.525864,2.4
-14,-6,-13.5,-5.5,20,16,0.8,8.05,0.32195,1.8
-14,-5,-13.5,-4.5,20,18,0.9,11.45,0.551438,2.15
-14,-4,-13.5,-3.5,20,10,0.5,3.15,0.394083,1.5
-14,-3,-13.5,-2.5,20,16,0.8,9.25,0.554843,2.05
-14,-2,-13.5,-1.5,20,17,0.85,8.8,0.348397,1.9
-14,-1,-13.5,-0.5,20,18,0.9,8,0.502091,2.2
-14,0,-13.5,0.5,20,4,0.2,1.85,0.362796,0.95
-14,1,-13.5,1.5,20,15,0.75,8.25,0.507709,2.1
-14,2,-13.5,2.5,20,13,0.65,8.45,0.392741,1.65
-14,3,-13.5,3.5,20,12,0.6,10.55,0.580384,2.1
-14,4,-13.5,4.5,20,4,0.2,1.2,0.350404,0.9
-14,5,-13.5,5.5,20,8,0.4,9.35,0.504324,1.7
-14,6,-13.5,6.5,20,10,0.5,52.95,0.41168,1.6
-14,7,-13.5,7.5,20,11,0.55,8.3,0.610077,1.85
-14,8,-13.5,8.5,20,1,0.05,0.9,0.375206,0.7
-14,9,-13.5,9.5,20,9,0.45,7.25,0.561381,1.9
-14,10,-13.5,10.5,20,9,0.45,7.85,0.352845,1.45
-14,11,-13.5,11.5,20,10,0.5,16.05,0.566504,1.7
-14,12,-13.5,12.5,20,2,0.1,0.8,0.358746,0.5
-14,13,-13.5,13.5,20,7,0.35,8.25,0.541021,1.7
-14,14,-13.5,14.5,20,1,0.05,8.5,0.372409,1.15
-14,15,-13.5,15.5,20,5,0.25,8.3,0.517237,1.5
-14,16,-13.5,16.5,20,3,0.15,0.55,0.354133,0.5
-13,-16,-12.5,-15.5,20,1,0.05,44.5,0.445675,1.45
-13,-15,-12.5,-14.5,20,20,1,15.5,0.541301,2.3
-13,-14,-12.5,-13.5,20,20,1,11.25,0.539954,2.3
-13,-13,-12.5,-12.5,20,20,1,12.6,0.712529,2.65
-13,-12,-12.5,-11.5,20,8,0.4,6.1,0.601944,1.75
-13,-11,-12.5,-10.5,20,20,1,11.95,0.720986,3
-13,-10,-12.5,-9.5,20,19,0.95,12.25,0.532912,2.3
-13,-9,-12.5,-8.5,20,20,1,12.8,0.769036,2.9
-13,-8,-12.5,-7.5,20,7,0.35,3.55,0.535723,1.7
-13,-7,-12.5,-6.5,20,20,1,9.3,0.662659,2.45
-13,-6,-12.5,-5.5,20,19,0.95,9.8,0.614835,2.55
-13,-5,-12.5,-4.5,20,20,1,10,0.770692,3.05
-13,-4,-12.5,-3.5,20,6,0.3,3.75,0.523216,1.75
-13,-3,-12.5,-2.5,20,18,0.9,10.65,0.783967,2.85
-13,-2,-12.5,-1.5,20,17,0.85,8.7,0.547811,2.4
-13,-1,-12.5,-0.5,20,16,0.8,8.65,0.684077,2.4
-13,0,-12.5,0.5,20,4,0.2,4.1,0.539863,1.35
-13,1,-12.5,1.5,20,17,0.85,8.8,0.711074,2.5
-13,2,-12.5,2.5,20,18,0.9,10.85,0.627022,2.35
-13,3,-12.5,3.5,20,19,0.95,9.8,0.709196,2.85
-13,4,-12.5,4.5,20,5,0.25,3.1,0.534283,1.6
-13,5,-12.5,5.5,20,19,0.95,9.6,0.676722,2.65
-13,6,-12.5,6.5,20,19,0.95,9.2,0.516059,2.5
-13,7,-12.5,7.5,20,19,0.95,10.45,0.747049,2.9
-13,8,-12.5,8.5,20,4,0.2,2.8,0.480659,1.4
-13,9,-12.5,9.5,20,20,1,11.05,0.721714,2.65
-13,10,-12.5,10.5,20,19,0.95,12,0.55537,2.3
-13,11,-12.5,11.5,20,20,1,13.35,0.730128,2.6
-13,12,-12.5,12.5,20,6,0.3,8.95,0.574685,1.85
-13,13,-12.5,13.5,20,20,1,20.9,0.740044,2.7
-13,14,-12.5,14.5,20,20,1,15.3,0.561273,2.35
-13,15,-12.5,15.5,20,20,1,14.95,0.731823,2.45
-13,16,-12.5,16.5,20,7,0.35,10.5,0.527446,1.5
-12,-16,-11.5,-15.5,20,0,0,0.25,0.191194,0.25
-12,-15,-11.5,-14.5,20,9,0.45,6.45,0.379838,1.4
-12,-14,-11.5,-13.5,20,5,0.25,6.6,0.38187,1.25
-12,-13,-11.5,-12.5,20,10,0.5,5.75,0.561976,1.9
-12,-12,-11.5,-11.5,20,1,0.05,0.9,0.347135,0.65
-12,-11,-11.5,-10.5,20,7,0.35,5.35,0.520699,1.5
-12,-10,-11.5,-9.5,20,10,0.5,5.8,0.406144,1.6
-12,-9,-11.5,-8.5,20,8,0.4,5.5,0.534309,1.8
-12,-8,-11.5,-7.5,20,4,0.2,0.95,0.349363,0.85
-12,-7,-11.5,-6.5,20,10,0.5,7.15,0.512852,1.95
-12,-6,-11.5,-5.5,20,8,0.4,5.2,0.358944,1.4
-12,-5,-11.5,-4.5,20,11,0.55,5.3,0.511037,1.8
-12,-4,-11.5,-3.5,20,4,0.2,1.55,0.357399,0.85
-12,-3,-11.5,-2.5,20,13,0.65,8.6,0.597352,2
-12,-2,-11.5,-1.5,20,14,0.7,6.35,0.358096,1.7
-12,-1,-11.5,-0.5,20,10,0.5,6.2,0.492681,2
-12,0,-11.5,0.5,20,5,0.25,1.55,0.323967,0.9
-12,1,-11.5,1.5,20,12,0.6,6.1,0.556413,1.95
-12,2,-11.5,2.5,20,16,0.8,6.3,0.322138,1.85
-12,3,-11.5,3.5,20,15,0.75,7,0.54941,2.05
-12,4,-11.5,4.5,20,7,0.35,2.55,0.385947,1.15
-12,5,-11.5,5.5,20,18,0.9,9.95,0.621926,2.25
-12,6,-11.5,6.5,20,18,0.9,7.85,0.334605,1.9
-12,7,-11.5,7.5,20,17,0.85,8.1,0.524751,2.3
-12,8,-11.5,8.5,20,9,0.45,3.8,0.385886,1.45
-12,9,-11.5,9.5,20,20,1,8.75,0.595303,2.25
-12,10,-11.5,10.5,20,18,0.9,9.05,0.33564,1.9
-12,11,-11.5,11.5,20,20,1,12,0.589573,2.35
