pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total,mean_edep_total,mean_active_channels
-16,-16,-15.5,-15.5,5,0,0,0,0,0
-16,-12,-15.5,-11.5,5,0,0,1.2,0.139327,0.8
-16,-8,-15.5,-7.5,5,0,0,2.6,0.167024,1
-16,-4,-15.5,-3.5,5,0,0,4,0.203003,1
-16,0,-15.5,0.5,5,0,0,6,0.189819,1
-16,4,-15.5,4.5,5,0,0,3,0.193541,1
-16,8,-15.5,8.5,5,0,0,5.2,0.176958,1
-16,12,-15.5,12.5,5,0,0,3.4,0.148703,1
-16,16,-15.5,16.5,5,0,0,3,0.186965,0.8
-12,-16,-11.5,-15.5,5,0,0,3.4,0.164964,1
-12,-12,-11.5,-11.5,5,5,1,10.6,0.315829,2
-12,-8,-11.5,-7.5,5,5,1,9,0.347572,2
-12,-4,-11.5,-3.5,5,5,1,56,0.376118,2.2
-12,0,-11.5,0.5,5,5,1,18.8,0.315453,2
-12,4,-11.5,4.5,5,5,1,34.4,0.370166,2
-12,8,-11.5,8.5,5,5,1,43.4,0.390143,2.4
-12,12,-11.5,12.5,5,5,1,81.2,0.519017,2
-12,16,-11.5,16.5,5,5,1,90.2,0.342105,2
-8,-16,-7.5,-15.5,5,0,0,4.2,0.167022,1
-8,-12,-7.5,-11.5,5,5,1,10.4,0.327608,2
-8,-8,-7.5,-7.5,5,5,1,12.6,0.326723,2
-8,-4,-7.5,-3.5,5,5,1,23,0.359214,2
-8,0,-7.5,0.5,5,5,1,23.4,0.350668,2
-8,4,-7.5,4.5,5,5,1,27.4,0.292684,2
-8,8,-7.5,8.5,5,5,1,45.6,0.358986,2
-8,12,-7.5,12.5,5,5,1,54.4,0.304944,2
-8,16,-7.5,16.5,5,5,1,122.2,0.41184,2
-4,-16,-3.5,-15.5,5,0,0,3.6,0.252813,1
-4,-12,-3.5,-11.5,5,5,1,11.2,0.297933,2
-4,-8,-3.5,-7.5,5,5,1,15.6,0.307783,2
-4,-4,-3.5,-3.5,5,5,1,22,0.424046,2
-4,0,-3.5,0.5,5,5,1,22.6,0.336095,2
-4,4,-3.5,4.5,5,5,1,32.4,0.336348,2
-4,8,-3.5,8.5,5,5,1,46.6,0.33623,2
-4,12,-3.5,12.5,5,5,1,71.8,0.32011,2
-4,16,-3.5,16.5,5,5,1,124.8,0.436305,2
0,-16,0.5,-15.5,5,0,0,5.6,0.176062,1
0,-12,0.5,-11.5,5,4,0.8,20.6,0.374863,1.8
0,-8,0.5,-7.5,5,5,1,22.4,0.341286,2.2
0,-4,0.5,-3.5,5,5,1,26.2,0.362886,2
0,0,0.5,0.5,5,5,1,28.2,0.332388,2
0,4,0.5,4.5,5,5,1,38.4,0.334962,2
0,8,0.5,8.5,5,5,1,46.8,0.337169,2
0,12,0.5,12.5,5,5,1,72.2,0.361871,2
0,16,0.5,16.5,5,5,1,98.2,0.340706,2
4,-16,4.5,-15.5,5,0,0,3.6,0.177874,1
4,-12,4.5,-11.5,5,4,0.8,30.4,0.360699,1.8
4,-8,4.5,-7.5,5,5,1,45.2,0.437008,2
4,-4,4.5,-3.5,5,5,1,38,0.37459,2
4,0,4.5,0.5,5,5,1,41.4,0.368963,2
4,4,4.5,4.5,5,5,1,51.8,0.359949,2.4
4,8,4.5,8.5,5,5,1,59.4,0.346072,2
4,12,4.5,12.5,5,5,1,79.2,0.310815,2
4,16,4.5,16.5,5,5,1,115.8,0.33542,2
8,-16,8.5,-15.5,5,0,0,2.4,0.156431,1
8,-12,8.5,-11.5,5,5,1,29,0.321709,2
8,-8,8.5,-7.5,5,5,1,45.2,0.381209,2
8,-4,8.5,-3.5,5,5,1,40.6,0.315364,2
8,0,8.5,0.5,5,5,1,49,0.321121,2
8,4,8.5,4.5,5,5,1,80.2,0.523176,2.4
8,8,8.5,8.5,5,5,1,86.4,0.399844,2
8,12,8.5,12.5,5,5,1,86.2,0.311271,2
8,16,8.5,16.5,5,5,1,105.6,0.287943,2
12,-16,12.5,-15.5,5,0,0,2.6,0.16157,0.8
12,-12,12.5,-11.5,5,5,1,73.6,0.38498,2
12,-8,12.5,-7.5,5,5,1,79.4,0.396118,2.2
12,-4,12.5,-3.5,5,5,1,66.6,0.334257,2
12,0,12.5,0.5,5,5,1,62.2,0.322311,2
12,4,12.5,4.5,5,5,1,78,0.331923,2
12,8,12.5,8.5,5,5,1,93.6,0.331428,2
12,12,12.5,12.5,5,5,1,111,0.338804,2
12,16,12.5,16.5,5,5,1,146.2,0.325443,2
16,-16,16.5,-15.5,5,0,0,2.8,0.14653,1
16,-12,16.5,-11.5,5,5,1,94.2,0.349863,2
16,-8,16.5,-7.5,5,5,1,96.6,0.334692,2
16,-4,16.5,-3.5,5,5,1,106.2,0.339534,2
16,0,16.5,0.5,5,5,1,107.2,0.321993,2
16,4,16.5,4.5,5,5,1,120.2,0.340923,2
16,8,16.5,8.5,5,5,1,122.8,0.331507,2
16,12,16.5,12.5,5,5,1,148,0.340268,2
16,16,16.5,16.5,5,5,1,207.2,0.381158,2
