pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total
-8,-8,-16,-16,20,0,0,0
-7,-8,-14,-16,20,0,0,45.3
-6,-8,-12,-16,20,0,0,2.15
-5,-8,-10,-16,20,1,0.05,62.85
-4,-8,-8,-16,20,1,0.05,2.35
-3,-8,-6,-16,20,0,0,41.8
-2,-8,-4,-16,20,1,0.05,2.25
-1,-8,-2,-16,20,0,0,49.7
0,-8,0,-16,20,1,0.05,1.85
1,-8,2,-16,20,0,0,49.3
2,-8,4,-16,20,0,0,1.8
3,-8,6,-16,20,0,0,58.9
4,-8,8,-16,20,0,0,2.1
5,-8,10,-16,20,0,0,50.4
6,-8,12,-16,20,0,0,2
7,-8,14,-16,20,0,0,48.9
8,-8,16,-16,20,0,0,2.3
-8,-7,-16,-14,20,0,0,40.7
-7,-7,-14,-14,20,20,1,78.7
-6,-7,-12,-14,20,17,0.85,26.65
-5,-7,-10,-14,20,20,1,59.95
-4,-7,-8,-14,20,19,0.95,27.4
-3,-7,-6,-14,20,20,1,51.3
-2,-7,-4,-14,20,15,0.75,13.3
-1,-7,-2,-14,20,20,1,47.6
0,-7,0,-14,20,17,0.85,10.85
1,-7,2,-14,20,20,1,46.45
2,-7,4,-14,20,17,0.85,8
3,-7,6,-14,20,19,0.95,45.1
4,-7,8,-14,20,18,0.9,7.3
5,-7,10,-14,20,18,0.9,40.7
6,-7,12,-14,20,16,0.8,4.5
7,-7,14,-14,20,17,0.85,34.6
8,-7,16,-14,20,16,0.8,4.45
-8,-6,-16,-12,20,0,0,1.95
-7,-6,-14,-12,20,18,0.9,29.5
-6,-6,-12,-12,20,15,0.75,14.55
-5,-6,-10,-12,20,19,0.95,34.5
-4,-6,-8,-12,20,18,0.9,6.1
-3,-6,-6,-12,20,20,1,33.35
-2,-6,-4,-12,20,19,0.95,8.5
-1,-6,-2,-12,20,20,1,32.45
0,-6,0,-12,20,17,0.85,12.3
1,-6,2,-12,20,20,1,38.85
2,-6,4,-12,20,19,0.95,13.25
3,-6,6,-12,20,20,1,64.8
4,-6,8,-12,20,18,0.9,19.7
5,-6,10,-12,20,20,1,54
6,-6,12,-12,20,19,0.95,33.35
7,-6,14,-12,20,20,1,59.55
8,-6,16,-12,20,17,0.85,46.55
-8,-5,-16,-10,20,0,0,43.5
-7,-5,-14,-10,20,20,1,61.15
-6,-5,-12,-10,20,19,0.95,28.7
-5,-5,-10,-10,20,20,1,47.7
-4,-5,-8,-10,20,20,1,24.75
-3,-5,-6,-10,20,20,1,36.1
-2,-5,-4,-10,20,20,1,17.4
-1,-5,-2,-10,20,20,1,34.15
0,-5,0,-10,20,17,0.85,11.6
1,-5,2,-10,20,20,1,31.35
2,-5,4,-10,20,20,1,10.2
3,-5,6,-10,20,19,0.95,33.75
4,-5,8,-10,20,18,0.9,6.25
5,-5,10,-10,20,17,0.85,26.25
6,-5,12,-10,20,17,0.85,9.75
7,-5,14,-10,20,18,0.9,24.1
8,-5,16,-10,20,16,0.8,31.8
-8,-4,-16,-8,20,0,0,4.35
-7,-4,-14,-8,20,16,0.8,21.35
-6,-4,-12,-8,20,16,0.8,5.4
-5,-4,-10,-8,20,20,1,21.25
-4,-4,-8,-8,20,20,1,10.2
-3,-4,-6,-8,20,20,1,23.55
-2,-4,-4,-8,20,20,1,9.85
-1,-4,-2,-8,20,20,1,24.2
0,-4,0,-8,20,19,0.95,10.1
1,-4,2,-8,20,20,1,24.25
2,-4,4,-8,20,19,0.95,17.5
3,-4,6,-8,20,20,1,30.05
4,-4,8,-8,20,20,1,21.75
5,-4,10,-8,20,20,1,39.3
6,-4,12,-8,20,20,1,31
7,-4,14,-8,20,20,1,56.85
8,-4,16,-8,20,20,1,57.05
-8,-3,-16,-6,20,0,0,41.5
-7,-3,-14,-6,20,20,1,53.45
-6,-3,-12,-6,20,20,1,36.45
-5,-3,-10,-6,20,20,1,36.95
-4,-3,-8,-6,20,20,1,23.5
-3,-3,-6,-6,20,20,1,33.2
-2,-3,-4,-6,20,20,1,15.9
-1,-3,-2,-6,20,20,1,28.7
0,-3,0,-6,20,20,1,12.95
1,-3,2,-6,20,20,1,23.4
2,-3,4,-6,20,20,1,12.7
3,-3,6,-6,20,20,1,34
4,-3,8,-6,20,18,0.9,8.95
5,-3,10,-6,20,18,0.9,14.65
6,-3,12,-6,20,18,0.9,7.9
7,-3,14,-6,20,20,1,17.45
8,-3,16,-6,20,16,0.8,9.05
-8,-2,-16,-4,20,0,0,1.95
-7,-2,-14,-4,20,19,0.95,53.15
-6,-2,-12,-4,20,19,0.95,8.6
-5,-2,-10,-4,20,19,0.95,16.7
-4,-2,-8,-4,20,20,1,10.85
-3,-2,-6,-4,20,19,0.95,27.45
-2,-2,-4,-4,20,20,1,13
-1,-2,-2,-4,20,20,1,17.7
0,-2,0,-4,20,20,1,17.1
1,-2,2,-4,20,20,1,22.8
2,-2,4,-4,20,20,1,17.15
3,-2,6,-4,20,20,1,29.5
4,-2,8,-4,20,20,1,24.8
5,-2,10,-4,20,20,1,44.85
6,-2,12,-4,20,20,1,35.25
7,-2,14,-4,20,20,1,42.2
8,-2,16,-4,20,20,1,49.45
-8,-1,-16,-2,20,0,0,40.15
-7,-1,-14,-2,20,20,1,47.25
-6,-1,-12,-2,20,20,1,32.25
-5,-1,-10,-2,20,20,1,32.55
-4,-1,-8,-2,20,20,1,28.05
-3,-1,-6,-2,20,20,1,22.35
-2,-1,-4,-2,20,20,1,20.65
-1,-1,-2,-2,20,20,1,21.45
0,-1,0,-2,20,18,0.9,14.15
1,-1,2,-2,20,20,1,19.45
2,-1,4,-2,20,20,1,12
3,-1,6,-2,20,20,1,15.6
4,-1,8,-2,20,19,0.95,10.1
5,-1,10,-2,20,19,0.95,13.9
6,-1,12,-2,20,17,0.85,9.4
7,-1,14,-2,20,17,0.85,11.85
8,-1,16,-2,20,18,0.9,15.1
-8,0,-16,0,20,0,0,2.15
-7,0,-14,0,20,17,0.85,13.65
-6,0,-12,0,20,17,0.85,11.7
-5,0,-10,0,20,20,1,13.4
-4,0,-8,0,20,20,1,12.2
-3,0,-6,0,20,20,1,14.95
-2,0,-4,0,20,20,1,14
-1,0,-2,0,20,20,1,14.45
0,0,0,0,20,20,1,22.65
1,0,2,0,20,20,1,18.7
2,0,4,0,20,20,1,21.3
3,0,6,0,20,20,1,22.15
4,0,8,0,20,20,1,25.85
5,0,10,0,20,20,1,33.25
6,0,12,0,20,20,1,37.05
7,0,14,0,20,20,1,43.25
8,0,16,0,20,20,1,53.85
-8,1,-16,2,20,0,0,51.15
-7,1,-14,2,20,20,1,41.35
-6,1,-12,2,20,20,1,38.1
-5,1,-10,2,20,20,1,29.65
-4,1,-8,2,20,20,1,33.35
-3,1,-6,2,20,19,0.95,20.45
-2,1,-4,2,20,20,1,23.9
-1,1,-2,2,20,20,1,17.35
0,1,0,2,20,19,0.95,20.2
1,1,2,2,20,19,0.95,13.15
2,1,4,2,20,20,1,19.95
3,1,6,2,20,20,1,11.4
4,1,8,2,20,18,0.9,15.7
5,1,10,2,20,19,0.95,11.4
6,1,12,2,20,17,0.85,12.3
7,1,14,2,20,20,1,11.9
8,1,16,2,20,18,0.9,12.35
-8,2,-16,4,20,0,0,2.6
-7,2,-14,4,20,15,0.75,7.1
-6,2,-12,4,20,16,0.8,17.4
-5,2,-10,4,20,19,0.95,11.25
-4,2,-8,4,20,20,1,19.1
-3,2,-6,4,20,20,1,9.55
-2,2,-4,4,20,20,1,18.55
-1,2,-2,4,20,18,0.9,11.05
0,2,0,4,20,20,1,23.05
1,2,2,4,20,20,1,21
2,2,4,4,20,20,1,27.15
3,2,6,4,20,20,1,18.65
4,2,8,4,20,20,1,31.4
5,2,10,4,20,20,1,27.35
6,2,12,4,20,20,1,43.1
7,2,14,4,20,20,1,44.15
8,2,16,4,20,20,1,53.8
-8,3,-16,6,20,0,0,43.8
-7,3,-14,6,20,20,1,52.75
-6,3,-12,6,20,20,1,43.15
-5,3,-10,6,20,19,0.95,30.75
-4,3,-8,6,20,20,1,36
-3,3,-6,6,20,20,1,23.15
-2,3,-4,6,20,20,1,24.5
-1,3,-2,6,20,20,1,14.75
0,3,0,6,20,20,1,25.55
1,3,2,6,20,20,1,10.9
2,3,4,6,20,20,1,20.05
3,3,6,6,20,20,1,8.1
4,3,8,6,20,20,1,24.3
5,3,10,6,20,19,0.95,8.7
6,3,12,6,20,18,0.9,18.35
7,3,14,6,20,17,0.85,7.55
8,3,16,6,20,19,0.95,17.7
-8,4,-16,8,20,0,0,1.9
-7,4,-14,8,20,19,0.95,5.1
-6,4,-12,8,20,16,0.8,23.15
-5,4,-10,8,20,20,1,6.65
-4,4,-8,8,20,20,1,22.5
-3,4,-6,8,20,19,0.95,8.4
-2,4,-4,8,20,20,1,21.7
-1,4,-2,8,20,20,1,13.1
0,4,0,8,20,20,1,23.6
1,4,2,8,20,20,1,18.15
2,4,4,8,20,20,1,32.8
3,4,6,8,20,19,0.95,21.65
4,4,8,8,20,20,1,36.8
5,4,10,8,20,19,0.95,26.1
6,4,12,8,20,20,1,47.75
7,4,14,8,20,18,0.9,38.15
8,4,16,8,20,20,1,66.75
-8,5,-16,10,20,0,0,48.65
-7,5,-14,10,20,20,1,43.85
-6,5,-12,10,20,20,1,51.35
-5,5,-10,10,20,19,0.95,30.55
-4,5,-8,10,20,20,1,43.2
-3,5,-6,10,20,19,0.95,21.3
-2,5,-4,10,20,20,1,32.6
-1,5,-2,10,20,19,0.95,11.65
0,5,0,10,20,20,1,30.1
1,5,2,10,20,19,0.95,10.7
2,5,4,10,20,20,1,26.7
3,5,6,10,20,20,1,28.55
4,5,8,10,20,19,0.95,23.65
5,5,10,10,20,18,0.9,6.1
6,5,12,10,20,19,0.95,23.85
7,5,14,10,20,17,0.85,5.35
8,5,16,10,20,16,0.8,27.3
-8,6,-16,12,20,0,0,2.45
-7,6,-14,12,20,14,0.7,4.45
-6,6,-12,12,20,18,0.9,34.25
-5,6,-10,12,20,18,0.9,5.9
-4,6,-8,12,20,20,1,33.45
-3,6,-6,12,20,18,0.9,7.35
-2,6,-4,12,20,20,1,37.3
-1,6,-2,12,20,18,0.9,15.6
0,6,0,12,20,20,1,36.85
1,6,2,12,20,17,0.85,11.1
2,6,4,12,20,20,1,37.65
3,6,6,12,20,18,0.9,15.25
4,6,8,12,20,20,1,43.7
5,6,10,12,20,19,0.95,27
6,6,12,12,20,20,1,55.9
7,6,14,12,20,17,0.85,37
8,6,16,12,20,20,1,73.7
-8,7,-16,14,20,0,0,47.8
-7,7,-14,14,20,19,0.95,39.05
-6,7,-12,14,20,20,1,62.2
-5,7,-10,14,20,18,0.9,27.6
-4,7,-8,14,20,20,1,48.75
-3,7,-6,14,20,19,0.95,17.75
-2,7,-4,14,20,20,1,60.75
-1,7,-2,14,20,19,0.95,13.65
0,7,0,14,20,20,1,48.45
1,7,2,14,20,18,0.9,9.2
2,7,4,14,20,20,1,38.4
3,7,6,14,20,20,1,7.5
4,7,8,14,20,19,0.95,43.35
5,7,10,14,20,15,0.75,6.05
6,7,12,14,20,19,0.95,42.1
7,7,14,14,20,15,0.75,5.55
8,7,16,14,20,15,0.75,59.5
-8,8,-16,16,20,0,0,2.2
-7,8,-14,16,20,17,0.85,5
-6,8,-12,16,20,18,0.9,46.85
-5,8,-10,16,20,18,0.9,6.5
-4,8,-8,16,20,19,0.95,46.35
-3,8,-6,16,20,17,0.85,7.2
-2,8,-4,16,20,20,1,51.25
-1,8,-2,16,20,18,0.9,8.35
0,8,0,16,20,20,1,57.55
1,8,2,16,20,17,0.85,69.8
2,8,4,16,20,20,1,59.4
3,8,6,16,20,16,0.8,19
4,8,8,16,20,20,1,70.95
5,8,10,16,20,18,0.9,26.3
6,8,12,16,20,20,1,68
7,8,14,16,20,19,0.95,40.6
8,8,16,16,20,20,1,90.05
