pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total
-8,-8,-16,-16,20,0,0,0
-7,-8,-14,-16,20,0,0,57.8
-6,-8,-12,-16,20,0,0,2.7
-5,-8,-10,-16,20,1,0.05,86.2
-4,-8,-8,-16,20,1,0.05,7.8
-3,-8,-6,-16,20,0,0,51.8
-2,-8,-4,-16,20,0,0,3.7
-1,-8,-2,-16,20,0,0,59.15
0,-8,0,-16,20,0,0,3.6
1,-8,2,-16,20,0,0,64.55
2,-8,4,-16,20,0,0,3.3
3,-8,6,-16,20,0,0,58.75
4,-8,8,-16,20,0,0,4.1
5,-8,10,-16,20,0,0,64.4
6,-8,12,-16,20,0,0,4.2
7,-8,14,-16,20,1,0.05,64.55
8,-8,16,-16,20,0,0,3.35
-8,-7,-16,-14,20,0,0,52.5
-7,-7,-14,-14,20,20,1,98.75
-6,-7,-12,-14,20,19,0.95,37.35
-5,-7,-10,-14,20,20,1,82.35
-4,-7,-8,-14,20,20,1,31.95
-3,-7,-6,-14,20,20,1,66.8
-2,-7,-4,-14,20,19,0.95,21.25
-1,-7,-2,-14,20,20,1,59.6
0,-7,0,-14,20,20,1,14.7
1,-7,2,-14,20,20,1,62.05
2,-7,4,-14,20,20,1,16.6
3,-7,6,-14,20,20,1,58
4,-7,8,-14,20,19,0.95,12.75
5,-7,10,-14,20,19,0.95,49.55
6,-7,12,-14,20,20,1,11.3
7,-7,14,-14,20,20,1,47.15
8,-7,16,-14,20,18,0.9,6.7
-8,-6,-16,-12,20,0,0,3.75
-7,-6,-14,-12,20,20,1,39.9
-6,-6,-12,-12,20,20,1,18.75
-5,-6,-10,-12,20,20,1,46.35
-4,-6,-8,-12,20,20,1,12.2
-3,-6,-6,-12,20,20,1,43.7
-2,-6,-4,-12,20,20,1,13.35
-1,-6,-2,-12,20,20,1,49.75
0,-6,0,-12,20,20,1,20.3
1,-6,2,-12,20,20,1,46.65
2,-6,4,-12,20,20,1,21.65
3,-6,6,-12,20,20,1,76.3
4,-6,8,-12,20,20,1,30.1
5,-6,10,-12,20,20,1,65
6,-6,12,-12,20,19,0.95,39.3
7,-6,14,-12,20,20,1,76.3
8,-6,16,-12,20,19,0.95,59.5
-8,-5,-16,-10,20,0,0,52.1
-7,-5,-14,-10,20,20,1,84
-6,-5,-12,-10,20,20,1,42.85
-5,-5,-10,-10,20,20,1,58.15
-4,-5,-8,-10,20,20,1,27.85
-3,-5,-6,-10,20,20,1,50.1
-2,-5,-4,-10,20,20,1,25.35
-1,-5,-2,-10,20,20,1,46.4
0,-5,0,-10,20,20,1,17.85
1,-5,2,-10,20,20,1,36.5
2,-5,4,-10,20,20,1,12.4
3,-5,6,-10,20,20,1,47.25
4,-5,8,-10,20,20,1,22.25
5,-5,10,-10,20,20,1,36.05
6,-5,12,-10,20,20,1,11.05
7,-5,14,-10,20,20,1,31.25
8,-5,16,-10,20,19,0.95,13.5
-8,-4,-16,-8,20,0,0,3.7
-7,-4,-14,-8,20,19,0.95,29.9
-6,-4,-12,-8,20,19,0.95,10.05
-5,-4,-10,-8,20,20,1,29.7
-4,-4,-8,-8,20,20,1,14.75
-3,-4,-6,-8,20,20,1,31.2
-2,-4,-4,-8,20,20,1,14.65
-1,-4,-2,-8,20,20,1,34.85
0,-4,0,-8,20,20,1,19.1
1,-4,2,-8,20,20,1,37.85
2,-4,4,-8,20,20,1,24.75
3,-4,6,-8,20,20,1,47.35
4,-4,8,-8,20,20,1,34.2
5,-4,10,-8,20,20,1,59.4
6,-4,12,-8,20,20,1,47.5
7,-4,14,-8,20,20,1,68.7
8,-4,16,-8,20,20,1,81.7
-8,-3,-16,-6,20,1,0.05,64.85
-7,-3,-14,-6,20,20,1,61
-6,-3,-12,-6,20,20,1,48.1
-5,-3,-10,-6,20,20,1,48.65
-4,-3,-8,-6,20,20,1,32.95
-3,-3,-6,-6,20,20,1,44.45
-2,-3,-4,-6,20,20,1,25.65
-1,-3,-2,-6,20,20,1,36.8
0,-3,0,-6,20,20,1,19.75
1,-3,2,-6,20,20,1,30.3
2,-3,4,-6,20,20,1,18.65
3,-3,6,-6,20,20,1,32.8
4,-3,8,-6,20,20,1,21.1
5,-3,10,-6,20,20,1,24.85
6,-3,12,-6,20,20,1,15.95
7,-3,14,-6,20,20,1,28.3
8,-3,16,-6,20,19,0.95,10.35
-8,-2,-16,-4,20,0,0,5.6
-7,-2,-14,-4,20,20,1,31.05
-6,-2,-12,-4,20,20,1,13.65
-5,-2,-10,-4,20,19,0.95,22.6
-4,-2,-8,-4,20,20,1,23.8
-3,-2,-6,-4,20,20,1,23.3
-2,-2,-4,-4,20,20,1,17.85
-1,-2,-2,-4,20,20,1,29.35
0,-2,0,-4,20,20,1,28.25
1,-2,2,-4,20,20,1,31.3
2,-2,4,-4,20,20,1,28.6
3,-2,6,-4,20,20,1,38.95
4,-2,8,-4,20,20,1,36.05
5,-2,10,-4,20,20,1,55.45
6,-2,12,-4,20,20,1,49.25
7,-2,14,-4,20,20,1,62.45
8,-2,16,-4,20,20,1,64.8
-8,-1,-16,-2,20,0,0,53.95
-7,-1,-14,-2,20,20,1,65.7
-6,-1,-12,-2,20,20,1,46.6
-5,-1,-10,-2,20,20,1,47.05
-4,-1,-8,-2,20,20,1,37.45
-3,-1,-6,-2,20,20,1,36.65
-2,-1,-4,-2,20,20,1,27.2
-1,-1,-2,-2,20,20,1,30.85
0,-1,0,-2,20,20,1,21.5
1,-1,2,-2,20,20,1,32.75
2,-1,4,-2,20,20,1,24.25
3,-1,6,-2,20,20,1,21.9
4,-1,8,-2,20,20,1,17.75
5,-1,10,-2,20,20,1,18.85
6,-1,12,-2,20,20,1,18.05
7,-1,14,-2,20,20,1,20.15
8,-1,16,-2,20,19,0.95,25.15
-8,0,-16,0,20,0,0,3.95
-7,0,-14,0,20,19,0.95,20.8
-6,0,-12,0,20,20,1,23.9
-5,0,-10,0,20,20,1,26.95
-4,0,-8,0,20,20,1,18.3
-3,0,-6,0,20,20,1,21.05
-2,0,-4,0,20,20,1,19.5
