pixel_x,pixel_y,x_center_mm,y_center_mm,n_events,n_detected,efficiency,mean_nph_total
-16,-16,-16,-16,20,0,0,0
-15,-16,-15,-16,20,0,0,56.4
-14,-16,-14,-16,20,0,0,58.65
-13,-16,-13,-16,20,0,0,59.85
-12,-16,-12,-16,20,1,0.05,9.6
-11,-16,-11,-16,20,0,0,55.95
-10,-16,-10,-16,20,0,0,61.25
-9,-16,-9,-16,20,0,0,63.65
-8,-16,-8,-16,20,0,0,3.45
-7,-16,-7,-16,20,0,0,65.5
-6,-16,-6,-16,20,0,0,52.3
-5,-16,-5,-16,20,0,0,66.7
-4,-16,-4,-16,20,0,0,4.1
-3,-16,-3,-16,20,1,0.05,67.4
-2,-16,-2,-16,20,0,0,61.55
-1,-16,-1,-16,20,1,0.05,66.05
0,-16,0,-16,20,0,0,3.25
1,-16,1,-16,20,0,0,54.65
2,-16,2,-16,20,0,0,63.6
3,-16,3,-16,20,0,0,57.35
4,-16,4,-16,20,0,0,5
5,-16,5,-16,20,1,0.05,60.5
6,-16,6,-16,20,0,0,57.3
7,-16,7,-16,20,1,0.05,69.3
8,-16,8,-16,20,1,0.05,5.65
9,-16,9,-16,20,0,0,55.8
10,-16,10,-16,20,0,0,65.4
11,-16,11,-16,20,0,0,60.65
12,-16,12,-16,20,0,0,3.85
13,-16,13,-16,20,0,0,61.8
14,-16,14,-16,20,0,0,55.75
15,-16,15,-16,20,0,0,55.6
16,-16,16,-16,20,1,0.05,3.55
-16,-15,-16,-15,20,0,0,57.3
-15,-15,-15,-15,20,20,1,105.8
-14,-15,-14,-15,20,20,1,102.5
-13,-15,-13,-15,20,20,1,116.45
-12,-15,-12,-15,20,20,1,42.5
-11,-15,-11,-15,20,20,1,91.3
-10,-15,-10,-15,20,20,1,80.5
-9,-15,-9,-15,20,20,1,78.05
-8,-15,-8,-15,20,19,0.95,28.4
-7,-15,-7,-15,20,20,1,77.1
-6,-15,-6,-15,20,20,1,70.4
-5,-15,-5,-15,20,20,1,78.35
-4,-15,-4,-15,20,20,1,19.55
-3,-15,-3,-15,20,20,1,66.1
-2,-15,-2,-15,20,20,1,60.25
-1,-15,-1,-15,20,20,1,65.25
0,-15,0,-15,20,20,1,18.4
1,-15,1,-15,20,20,1,68.15
2,-15,2,-15,20,20,1,58.25
3,-15,3,-15,20,20,1,70.05
4,-15,4,-15,20,20,1,12.7
5,-15,5,-15,20,20,1,64.3
6,-15,6,-15,20,20,1,57.95
7,-15,7,-15,20,20,1,63.7
8,-15,8,-15,20,18,0.9,8.55
9,-15,9,-15,20,19,0.95,62.95
10,-15,10,-15,20,20,1,56.85
11,-15,11,-15,20,20,1,56.8
12,-15,12,-15,20,19,0.95,9.6
13,-15,13,-15,20,20,1,82.3
14,-15,14,-15,20,20,1,67.65
15,-15,15,-15,20,18,0.9,57.6
16,-15,16,-15,20,18,0.9,13.9
-16,-14,-16,-14,20,0,0,64
-15,-14,-15,-14,20,20,1,114.1
-14,-14,-14,-14,20,20,1,83.75
-13,-14,-13,-14,20,20,1,100.1
-12,-14,-12,-14,20,20,1,39.3
-11,-14,-11,-14,20,20,1,81
-10,-14,-10,-14,20,20,1,80.05
-9,-14,-9,-14,20,20,1,83.95
-8,-14,-8,-14,20,20,1,33.7
-7,-14,-7,-14,20,20,1,74.15
-6,-14,-6,-14,20,20,1,67.7
-5,-14,-5,-14,20,20,1,63.05
-4,-14,-4,-14,20,20,1,20.75
-3,-14,-3,-14,20,20,1,63.7
-2,-14,-2,-14,20,20,1,56.95
-1,-14,-1,-14,20,20,1,67.15
0,-14,0,-14,20,20,1,18.8
1,-14,1,-14,20,20,1,64.7
2,-14,2,-14,20,20,1,62.4
3,-14,3,-14,20,20,1,62.4
4,-14,4,-14,20,19,0.95,12.8
5,-14,5,-14,20,20,1,62.2
6,-14,6,-14,20,20,1,50.95
7,-14,7,-14,20,20,1,65.5
8,-14,8,-14,20,19,0.95,9.95
9,-14,9,-14,20,20,1,54.35
10,-14,10,-14,20,20,1,64.85
11,-14,11,-14,20,19,0.95,62.7
12,-14,12,-14,20,20,1,11.65
13,-14,13,-14,20,18,0.9,68.9
14,-14,14,-14,20,20,1,50.15
15,-14,15,-14,20,20,1,52
16,-14,16,-14,20,19,0.95,7.4
-16,-13,-16,-13,20,0,0,64.7
-15,-13,-15,-13,20,20,1,100.55
-14,-13,-14,-13,20,20,1,89.5
-13,-13,-13,-13,20,20,1,107.95
-12,-13,-12,-13,20,18,0.9,58.45
-11,-13,-11,-13,20,20,1,91.5
-10,-13,-10,-13,20,20,1,82.1
-9,-13,-9,-13,20,20,1,87.95
-8,-13,-8,-13,20,19,0.95,63.1
-7,-13,-7,-13,20,20,1,73.8
-6,-13,-6,-13,20,20,1,69.55
-5,-13,-5,-13,20,20,1,79.65
-4,-13,-4,-13,20,20,1,34.35
-3,-13,-3,-13,20,20,1,78.8
-2,-13,-2,-13,20,20,1,71.1
-1,-13,-1,-13,20,20,1,77.7
0,-13,0,-13,20,20,1,28.3
1,-13,1,-13,20,20,1,70.05
2,-13,2,-13,20,20,1,63.8
3,-13,3,-13,20,20,1,68.3
4,-13,4,-13,20,19,0.95,29.4
5,-13,5,-13,20,20,1,80
6,-13,6,-13,20,20,1,68.2
7,-13,7,-13,20,20,1,76.15
8,-13,8,-13,20,18,0.9,36.8
9,-13,9,-13,20,20,1,86.55
10,-13,10,-13,20,20,1,78.95
11,-13,11,-13,20,20,1,85.8
12,-13,12,-13,20,19,0.95,46.7
13,-13,13,-13,20,20,1,107.5
14,-13,14,-13,20,20,1,89.9
15,-13,15,-13,20,20,1,100.55
16,-13,16,-13,20,20,1,69.85
-16,-12,-16,-12,20,0,0,3.75
-15,-12,-15,-12,20,20,1,40.95
-14,-12,-14,-12,20,19,0.95,36.8
-13,-12,-13,-12,20,20,1,48.3
-12,-12,-12,-12,20,20,1,10.4
-11,-12,-11,-12,20,20,1,54.8
-10,-12,-10,-12,20,20,1,45.2
-9,-12,-9,-12,20,20,1,49.65
-8,-12,-8,-12,20,20,1,11.6
-7,-12,-7,-12,20,20,1,51.9
